Sig	ips	exposure	denovo
Skin_I	HPSI0114i-kolf_3	0	denovo
UV_Skin_J	HPSI0114i-kolf_3	665.663756345178	denovo
Culture	HPSI0114i-lexy_1	594.467529665588	denovo
Skin_B	HPSI0114i-lexy_1	0	denovo
Skin_C	HPSI0114i-lexy_1	0	denovo
UV_Skin_D	HPSI0114i-lexy_1	680.83451995685	denovo
Skin_E	HPSI0114i-lexy_1	0	denovo
Skin_F	HPSI0114i-lexy_1	0	denovo
Skin_G	HPSI0114i-lexy_1	223.240992448759	denovo
Skin_H	HPSI0114i-lexy_1	377.792448759439	denovo
Skin_I	HPSI0114i-lexy_1	0	denovo
UV_Skin_J	HPSI0114i-lexy_1	0	denovo
Culture	HPSI0114i-lexy_2	935.956973825744	denovo
Skin_B	HPSI0114i-lexy_2	0	denovo
Skin_C	HPSI0114i-lexy_2	0	denovo
UV_Skin_D	HPSI0114i-lexy_2	0	denovo
Skin_E	HPSI0114i-lexy_2	0	denovo
Skin_F	HPSI0114i-lexy_2	0	denovo
Skin_G	HPSI0114i-lexy_2	0	denovo
Skin_H	HPSI0114i-lexy_2	276.998207242739	denovo
Skin_I	HPSI0114i-lexy_2	0	denovo
UV_Skin_J	HPSI0114i-lexy_2	0	denovo
Culture	HPSI0114i-oevr_3	845.925742574257	denovo
Skin_B	HPSI0114i-oevr_3	0	denovo
Skin_C	HPSI0114i-oevr_3	0	denovo
UV_Skin_D	HPSI0114i-oevr_3	0	denovo
Skin_E	HPSI0114i-oevr_3	0	denovo
Skin_F	HPSI0114i-oevr_3	0	denovo
Skin_G	HPSI0114i-oevr_3	0	denovo
Skin_H	HPSI0114i-oevr_3	217.217821782178	denovo
Skin_I	HPSI0114i-oevr_3	0	denovo
UV_Skin_J	HPSI0114i-oevr_3	0	denovo
Culture	HPSI0114i-rozh_4	761.220286885246	denovo
Skin_B	HPSI0114i-rozh_4	0	denovo
Skin_C	HPSI0114i-rozh_4	0	denovo
UV_Skin_D	HPSI0114i-rozh_4	0	denovo
Skin_E	HPSI0114i-rozh_4	0	denovo
Skin_F	HPSI0114i-rozh_4	0	denovo
Skin_G	HPSI0114i-rozh_4	0	denovo
Skin_H	HPSI0114i-rozh_4	0	denovo
Skin_I	HPSI0114i-rozh_4	0	denovo
UV_Skin_J	HPSI0114i-rozh_4	0	denovo
Culture	HPSI0114i-rozh_5	1177.60057522919	denovo
Skin_B	HPSI0114i-rozh_5	0	denovo
Skin_C	HPSI0114i-rozh_5	0	denovo
UV_Skin_D	HPSI0114i-rozh_5	642.925399964048	denovo
Skin_E	HPSI0114i-rozh_5	0	denovo
Skin_F	HPSI0114i-rozh_5	0	denovo
Skin_G	HPSI0114i-rozh_5	404.167895020672	denovo
Skin_H	HPSI0114i-rozh_5	262.026244831925	denovo
Skin_I	HPSI0114i-rozh_5	0	denovo
UV_Skin_J	HPSI0114i-rozh_5	0	denovo
Culture	HPSI0114i-vabj_3	481.841432225064	denovo
Skin_B	HPSI0114i-vabj_3	0	denovo
Skin_C	HPSI0114i-vabj_3	0	denovo
UV_Skin_D	HPSI0114i-vabj_3	0	denovo
Skin_E	HPSI0114i-vabj_3	0	denovo
Skin_F	HPSI0114i-vabj_3	0	denovo
Skin_G	HPSI0114i-vabj_3	0	denovo
Skin_H	HPSI0114i-vabj_3	127.877237851662	denovo
Skin_I	HPSI0114i-vabj_3	0	denovo
UV_Skin_J	HPSI0114i-vabj_3	0	denovo
Culture	HPSI0114i-vass_1	799.950064405324	denovo
Skin_B	HPSI0114i-vass_1	0	denovo
Skin_C	HPSI0114i-vass_1	0	denovo
UV_Skin_D	HPSI0114i-vass_1	2748.61043366252	denovo
Skin_E	HPSI0114i-vass_1	0	denovo
Skin_F	HPSI0114i-vass_1	0	denovo
Skin_G	HPSI0114i-vass_1	0	denovo
Skin_H	HPSI0114i-vass_1	0	denovo
Skin_I	HPSI0114i-vass_1	0	denovo
UV_Skin_J	HPSI0114i-vass_1	7381.92520395019	denovo
Culture	HPSI0114i-wegi_1	881.664853101197	denovo
Skin_B	HPSI0114i-wegi_1	0	denovo
Skin_C	HPSI0114i-wegi_1	0	denovo
UV_Skin_D	HPSI0114i-wegi_1	438.313384113166	denovo
Skin_E	HPSI0114i-wegi_1	0	denovo
Skin_F	HPSI0114i-wegi_1	0	denovo
Skin_G	HPSI0114i-wegi_1	0	denovo
Skin_H	HPSI0114i-wegi_1	299.262241566921	denovo
Skin_I	HPSI0114i-wegi_1	0	denovo
UV_Skin_J	HPSI0114i-wegi_1	0	denovo
Culture	HPSI0114i-zapk_2	988.460093896714	denovo
Skin_B	HPSI0114i-zapk_2	0	denovo
Skin_C	HPSI0114i-zapk_2	0	denovo
UV_Skin_D	HPSI0114i-zapk_2	907.004585653456	denovo
Skin_E	HPSI0114i-zapk_2	0	denovo
Skin_F	HPSI0114i-zapk_2	0	denovo
Skin_G	HPSI0114i-zapk_2	0	denovo
Skin_H	HPSI0114i-zapk_2	342.313025439458	denovo
Skin_I	HPSI0114i-zapk_2	0	denovo
